generations,num_patterns,pct,total
2,3626,0.03749%,9670935
3,50506,0.55974%,
4,152551,2.13716%,
5,288217,5.11740%,
6,459734,9.87117%,
7,527968,15.33049%,
8,505153,20.55391%,
9,495680,25.67937%,
10,478400,30.62615%,
11,445649,35.23428%,
12,418059,39.55712%,
13,389846,43.58823%,
14,357135,47.28110%,
15,329808,50.69140%,
16,306551,53.86121%,
17,281814,56.77524%,
18,262658,59.49120%,
19,241866,61.99215%,
20,225500,64.32388%,
21,214965,66.54668%,
22,197659,68.59052%,
23,182208,70.47460%,
24,169359,72.22582%,
25,158719,73.86701%,
26,147646,75.39371%,
27,139522,76.83641%,
28,129122,78.17156%,
29,120729,79.41993%,
30,116107,80.62051%,
31,107422,81.73128%,
32,101284,82.77858%,
33,97691,83.78873%,
34,92586,84.74610%,
35,87683,85.65276%,
36,85329,86.53509%,
37,77964,87.34126%,
38,73111,88.09724%,
39,68600,88.80658%,
40,64274,89.47119%,
41,59633,90.08781%,
42,55914,90.66598%,
43,52783,91.21177%,
44,49950,91.72827%,
45,45914,92.20303%,
46,43880,92.65676%,
47,40140,93.07182%,
48,38502,93.46994%,
49,36587,93.84826%,
50,34771,94.20780%,
51,32887,94.54786%,
52,31787,94.87655%,
53,29184,95.17832%,
54,27009,95.45760%,
55,25614,95.72245%,
56,23767,95.96821%,
57,22295,96.19874%,
58,20540,96.41113%,
59,18884,96.60640%,
60,17754,96.78998%,
61,16829,96.96400%,
62,15657,97.12589%,
63,16094,97.29231%,
64,16693,97.46492%,
65,16945,97.64014%,
66,15487,97.80027%,
67,14619,97.95144%,
68,14131,98.09756%,
69,13213,98.23418%,
70,12018,98.35845%,
71,11305,98.47535%,
72,10497,98.58389%,
73,9854,98.68578%,
74,8914,98.77796%,
75,8284,98.86362%,
76,7881,98.94511%,
77,7307,99.02066%,
78,6700,99.08994%,
79,6356,99.15567%,
80,5918,99.21686%,
81,5539,99.27413%,
82,5259,99.32851%,
83,4788,99.37802%,
84,4635,99.42595%,
85,4193,99.46931%,
86,3836,99.50897%,
87,3688,99.54711%,
88,3308,99.58131%,
89,3077,99.61313%,
90,2788,99.64196%,
91,2637,99.66923%,
92,2518,99.69526%,
93,2502,99.72113%,
94,2321,99.74513%,
95,2240,99.76830%,
96,1859,99.78752%,
97,1701,99.80511%,
98,1579,99.82143%,
99,1442,99.83634%,
100,1282,99.84960%,
101,1240,99.86242%,
102,1120,99.87400%,
103,1027,99.88462%,
104,992,99.89488%,
105,838,99.90355%,
106,811,99.91193%,
107,718,99.91936%,
108,658,99.92616%,
109,574,99.93210%,
110,561,99.93790%,
111,502,99.94309%,
112,423,99.94746%,
113,425,99.95186%,
114,396,99.95595%,
115,326,99.95932%,
116,339,99.96283%,
117,348,99.96643%,
118,310,99.96963%,
119,263,99.97235%,
120,275,99.97519%,
121,366,99.97898%,
122,234,99.98140%,
123,198,99.98345%,
124,175,99.98525%,
125,152,99.98683%,
126,126,99.98813%,
127,124,99.98941%,
128,139,99.99085%,
129,118,99.99207%,
130,90,99.99300%,
131,88,99.99391%,
132,79,99.99473%,
133,53,99.99527%,
134,56,99.99585%,
135,63,99.99650%,
136,36,99.99688%,
137,30,99.99719%,
138,34,99.99754%,
139,34,99.99789%,
140,27,99.99817%,
141,24,99.99842%,
142,21,99.99864%,
143,20,99.99884%,
144,16,99.99901%,
145,11,99.99912%,
146,11,99.99923%,
147,11,99.99935%,
148,11,99.99946%,
149,7,99.99953%,
150,7,99.99961%,
151,4,99.99965%,
152,5,99.99970%,
153,7,99.99977%,
154,3,99.99980%,
155,4,99.99984%,
156,2,99.99987%,
157,4,99.99991%,
158,4,99.99995%,
159,0,99.99995%,
160,1,99.99996%,
161,0,99.99996%,
162,0,99.99996%,
163,0,99.99996%,
164,0,99.99996%,
165,0,99.99996%,
166,0,99.99996%,
167,0,99.99996%,
169,1,99.99997%,
170,0,99.99997%,
171,2,99.99999%,
172,0,99.99999%,
173,0,99.99999%,
174,0,99.99999%,
175,1,100.00000%,
